,reaction_times,users,num_users,num_data
0,607,1,34,316
1,583,1,34,316
2,521,1,34,316
3,494,1,34,316
4,369,1,34,316
5,782,2,34,316
6,570,2,34,316
7,678,2,34,316
8,467,2,34,316
9,620,2,34,316
10,425,3,34,316
11,395,3,34,316
12,346,3,34,316
13,361,3,34,316
14,310,3,34,316
15,300,3,34,316
16,382,3,34,316
17,294,3,34,316
18,315,3,34,316
19,323,4,34,316
20,421,5,34,316
21,339,5,34,316
22,398,5,34,316
23,328,5,34,316
24,335,5,34,316
25,291,5,34,316
26,329,5,34,316
27,310,5,34,316
28,294,5,34,316
29,321,5,34,316
30,286,5,34,316
31,349,5,34,316
32,279,5,34,316
33,268,5,34,316
34,293,5,34,316
35,310,5,34,316
36,259,6,34,316
37,241,6,34,316
38,243,6,34,316
39,272,6,34,316
40,247,6,34,316
41,275,6,34,316
42,220,6,34,316
43,245,6,34,316
44,268,6,34,316
45,357,7,34,316
46,273,7,34,316
47,301,7,34,316
48,322,7,34,316
49,276,7,34,316
50,401,8,34,316
51,368,8,34,316
52,149,8,34,316
53,507,8,34,316
54,411,8,34,316
55,362,9,34,316
56,358,9,34,316
57,355,9,34,316
58,362,9,34,316
59,324,9,34,316
60,332,10,34,316
61,268,10,34,316
62,259,10,34,316
63,274,10,34,316
64,248,10,34,316
65,254,10,34,316
66,242,10,34,316
67,286,10,34,316
68,276,10,34,316
69,237,10,34,316
70,259,10,34,316
71,251,10,34,316
72,239,10,34,316
73,247,10,34,316
74,260,10,34,316
75,237,10,34,316
76,206,10,34,316
77,242,10,34,316
78,361,11,34,316
79,267,11,34,316
80,245,11,34,316
81,331,11,34,316
82,357,11,34,316
83,284,11,34,316
84,263,11,34,316
85,244,11,34,316
86,317,11,34,316
87,225,11,34,316
88,254,11,34,316
89,253,11,34,316
90,251,11,34,316
91,314,11,34,316
92,239,11,34,316
93,248,11,34,316
94,250,11,34,316
95,200,11,34,316
96,256,11,34,316
97,233,11,34,316
98,427,12,34,316
99,391,12,34,316
100,331,12,34,316
101,395,12,34,316
102,337,12,34,316
103,392,12,34,316
104,352,12,34,316
105,381,12,34,316
106,330,12,34,316
107,368,12,34,316
108,381,12,34,316
109,316,12,34,316
110,335,12,34,316
111,316,12,34,316
112,302,12,34,316
113,375,12,34,316
114,361,12,34,316
115,330,12,34,316
116,351,12,34,316
117,186,12,34,316
118,221,13,34,316
119,278,13,34,316
120,244,13,34,316
121,218,13,34,316
122,126,13,34,316
123,269,13,34,316
124,238,13,34,316
125,194,13,34,316
126,384,13,34,316
127,154,13,34,316
128,555,14,34,316
129,387,14,34,316
130,317,14,34,316
131,365,14,34,316
132,357,14,34,316
133,390,14,34,316
134,320,14,34,316
135,316,14,34,316
136,297,14,34,316
137,354,14,34,316
138,266,14,34,316
139,279,14,34,316
140,327,14,34,316
141,285,15,34,316
142,258,15,34,316
143,267,15,34,316
144,226,15,34,316
145,237,15,34,316
146,264,15,34,316
147,510,16,34,316
148,490,16,34,316
149,458,16,34,316
150,425,16,34,316
151,522,16,34,316
152,927,17,34,316
153,555,17,34,316
154,550,17,34,316
155,516,17,34,316
156,548,17,34,316
157,560,18,34,316
158,545,18,34,316
159,633,18,34,316
160,496,18,34,316
161,498,18,34,316
162,223,19,34,316
163,222,19,34,316
164,309,19,34,316
165,244,19,34,316
166,207,19,34,316
167,258,20,34,316
168,255,20,34,316
169,281,20,34,316
170,258,20,34,316
171,226,20,34,316
172,257,20,34,316
173,263,20,34,316
174,266,20,34,316
175,238,20,34,316
176,249,20,34,316
177,340,20,34,316
178,247,20,34,316
179,216,20,34,316
180,241,20,34,316
181,239,20,34,316
182,226,20,34,316
183,273,20,34,316
184,235,20,34,316
185,251,20,34,316
186,290,20,34,316
187,473,21,34,316
188,416,21,34,316
189,451,21,34,316
190,475,21,34,316
191,406,21,34,316
192,349,21,34,316
193,401,21,34,316
194,334,21,34,316
195,446,21,34,316
196,401,21,34,316
197,252,22,34,316
198,266,22,34,316
199,210,22,34,316
200,228,22,34,316
201,250,22,34,316
202,265,22,34,316
203,236,22,34,316
204,289,22,34,316
205,244,22,34,316
206,327,22,34,316
207,274,22,34,316
208,223,22,34,316
209,327,23,34,316
210,307,23,34,316
211,338,23,34,316
212,345,23,34,316
213,381,23,34,316
214,369,23,34,316
215,445,23,34,316
216,296,23,34,316
217,303,23,34,316
218,326,23,34,316
219,321,24,34,316
220,309,24,34,316
221,307,24,34,316
222,319,24,34,316
223,288,24,34,316
224,299,24,34,316
225,284,24,34,316
226,278,24,34,316
227,310,24,34,316
228,282,24,34,316
229,275,24,34,316
230,372,24,34,316
231,295,24,34,316
232,306,24,34,316
233,303,24,34,316
234,285,24,34,316
235,316,24,34,316
236,294,24,34,316
237,284,24,34,316
238,324,24,34,316
239,264,25,34,316
240,278,25,34,316
241,369,25,34,316
242,254,25,34,316
243,306,25,34,316
244,237,25,34,316
245,439,25,34,316
246,287,25,34,316
247,285,25,34,316
248,261,25,34,316
249,299,25,34,316
250,311,25,34,316
251,265,25,34,316
252,292,26,34,316
253,282,26,34,316
254,271,26,34,316
255,268,26,34,316
256,270,26,34,316
257,259,27,34,316
258,269,27,34,316
259,249,27,34,316
260,261,27,34,316
261,425,27,34,316
262,291,28,34,316
263,291,28,34,316
264,441,28,34,316
265,222,28,34,316
266,347,28,34,316
267,244,28,34,316
268,232,28,34,316
269,272,28,34,316
270,264,28,34,316
271,190,29,34,316
272,219,29,34,316
273,317,29,34,316
274,232,29,34,316
275,256,29,34,316
276,185,29,34,316
277,210,29,34,316
278,213,29,34,316
279,202,29,34,316
280,226,29,34,316
281,250,30,34,316
282,238,30,34,316
283,252,30,34,316
284,233,30,34,316
285,221,30,34,316
286,220,30,34,316
287,287,31,34,316
288,267,31,34,316
289,264,31,34,316
290,273,31,34,316
291,304,31,34,316
292,294,32,34,316
293,236,32,34,316
294,200,32,34,316
295,219,32,34,316
296,276,32,34,316
297,287,33,34,316
298,365,34,34,316
299,438,34,34,316
300,420,34,34,316
301,396,34,34,316
302,359,34,34,316
303,405,34,34,316
304,397,34,34,316
305,383,34,34,316
306,360,34,34,316
307,387,34,34,316
308,429,34,34,316
309,358,34,34,316
310,459,34,34,316
311,371,34,34,316
312,368,34,34,316
313,452,34,34,316
314,358,34,34,316
315,371,34,34,316
