,reaction_times,users,num_users,num_data,is_datum_child
0,607,1,34,316,1
1,583,1,34,316,1
2,521,1,34,316,1
3,494,1,34,316,1
4,369,1,34,316,1
5,782,2,34,316,1
6,570,2,34,316,1
7,678,2,34,316,1
8,467,2,34,316,1
9,620,2,34,316,1
10,425,3,34,316,0
11,395,3,34,316,0
12,346,3,34,316,0
13,361,3,34,316,0
14,310,3,34,316,0
15,300,3,34,316,0
16,382,3,34,316,0
17,294,3,34,316,0
18,315,3,34,316,0
19,323,4,34,316,0
20,421,5,34,316,0
21,339,5,34,316,0
22,398,5,34,316,0
23,328,5,34,316,0
24,335,5,34,316,0
25,291,5,34,316,0
26,329,5,34,316,0
27,310,5,34,316,0
28,294,5,34,316,0
29,321,5,34,316,0
30,286,5,34,316,0
31,349,5,34,316,0
32,279,5,34,316,0
33,268,5,34,316,0
34,293,5,34,316,0
35,310,5,34,316,0
36,259,6,34,316,0
37,241,6,34,316,0
38,243,6,34,316,0
39,272,6,34,316,0
40,247,6,34,316,0
41,275,6,34,316,0
42,220,6,34,316,0
43,245,6,34,316,0
44,268,6,34,316,0
45,357,7,34,316,0
46,273,7,34,316,0
47,301,7,34,316,0
48,322,7,34,316,0
49,276,7,34,316,0
50,401,8,34,316,0
51,368,8,34,316,0
52,149,8,34,316,0
53,507,8,34,316,0
54,411,8,34,316,0
55,362,9,34,316,0
56,358,9,34,316,0
57,355,9,34,316,0
58,362,9,34,316,0
59,324,9,34,316,0
60,332,10,34,316,0
61,268,10,34,316,0
62,259,10,34,316,0
63,274,10,34,316,0
64,248,10,34,316,0
65,254,10,34,316,0
66,242,10,34,316,0
67,286,10,34,316,0
68,276,10,34,316,0
69,237,10,34,316,0
70,259,10,34,316,0
71,251,10,34,316,0
72,239,10,34,316,0
73,247,10,34,316,0
74,260,10,34,316,0
75,237,10,34,316,0
76,206,10,34,316,0
77,242,10,34,316,0
78,361,11,34,316,0
79,267,11,34,316,0
80,245,11,34,316,0
81,331,11,34,316,0
82,357,11,34,316,0
83,284,11,34,316,0
84,263,11,34,316,0
85,244,11,34,316,0
86,317,11,34,316,0
87,225,11,34,316,0
88,254,11,34,316,0
89,253,11,34,316,0
90,251,11,34,316,0
91,314,11,34,316,0
92,239,11,34,316,0
93,248,11,34,316,0
94,250,11,34,316,0
95,200,11,34,316,0
96,256,11,34,316,0
97,233,11,34,316,0
98,427,12,34,316,0
99,391,12,34,316,0
100,331,12,34,316,0
101,395,12,34,316,0
102,337,12,34,316,0
103,392,12,34,316,0
104,352,12,34,316,0
105,381,12,34,316,0
106,330,12,34,316,0
107,368,12,34,316,0
108,381,12,34,316,0
109,316,12,34,316,0
110,335,12,34,316,0
111,316,12,34,316,0
112,302,12,34,316,0
113,375,12,34,316,0
114,361,12,34,316,0
115,330,12,34,316,0
116,351,12,34,316,0
117,186,12,34,316,0
118,221,13,34,316,0
119,278,13,34,316,0
120,244,13,34,316,0
121,218,13,34,316,0
122,126,13,34,316,0
123,269,13,34,316,0
124,238,13,34,316,0
125,194,13,34,316,0
126,384,13,34,316,0
127,154,13,34,316,0
128,555,14,34,316,1
129,387,14,34,316,1
130,317,14,34,316,1
131,365,14,34,316,1
132,357,14,34,316,1
133,390,14,34,316,1
134,320,14,34,316,1
135,316,14,34,316,1
136,297,14,34,316,1
137,354,14,34,316,1
138,266,14,34,316,1
139,279,14,34,316,1
140,327,14,34,316,1
141,285,15,34,316,1
142,258,15,34,316,1
143,267,15,34,316,1
144,226,15,34,316,1
145,237,15,34,316,1
146,264,15,34,316,1
147,510,16,34,316,1
148,490,16,34,316,1
149,458,16,34,316,1
150,425,16,34,316,1
151,522,16,34,316,1
152,927,17,34,316,1
153,555,17,34,316,1
154,550,17,34,316,1
155,516,17,34,316,1
156,548,17,34,316,1
157,560,18,34,316,1
158,545,18,34,316,1
159,633,18,34,316,1
160,496,18,34,316,1
161,498,18,34,316,1
162,223,19,34,316,0
163,222,19,34,316,0
164,309,19,34,316,0
165,244,19,34,316,0
166,207,19,34,316,0
167,258,20,34,316,0
168,255,20,34,316,0
169,281,20,34,316,0
170,258,20,34,316,0
171,226,20,34,316,0
172,257,20,34,316,0
173,263,20,34,316,0
174,266,20,34,316,0
175,238,20,34,316,0
176,249,20,34,316,0
177,340,20,34,316,0
178,247,20,34,316,0
179,216,20,34,316,0
180,241,20,34,316,0
181,239,20,34,316,0
182,226,20,34,316,0
183,273,20,34,316,0
184,235,20,34,316,0
185,251,20,34,316,0
186,290,20,34,316,0
187,473,21,34,316,0
188,416,21,34,316,0
189,451,21,34,316,0
190,475,21,34,316,0
191,406,21,34,316,0
192,349,21,34,316,0
193,401,21,34,316,0
194,334,21,34,316,0
195,446,21,34,316,0
196,401,21,34,316,0
197,252,22,34,316,0
198,266,22,34,316,0
199,210,22,34,316,0
200,228,22,34,316,0
201,250,22,34,316,0
202,265,22,34,316,0
203,236,22,34,316,0
204,289,22,34,316,0
205,244,22,34,316,0
206,327,22,34,316,0
207,274,22,34,316,0
208,223,22,34,316,0
209,327,23,34,316,1
210,307,23,34,316,1
211,338,23,34,316,1
212,345,23,34,316,1
213,381,23,34,316,1
214,369,23,34,316,1
215,445,23,34,316,1
216,296,23,34,316,1
217,303,23,34,316,1
218,326,23,34,316,1
219,321,24,34,316,0
220,309,24,34,316,0
221,307,24,34,316,0
222,319,24,34,316,0
223,288,24,34,316,0
224,299,24,34,316,0
225,284,24,34,316,0
226,278,24,34,316,0
227,310,24,34,316,0
228,282,24,34,316,0
229,275,24,34,316,0
230,372,24,34,316,0
231,295,24,34,316,0
232,306,24,34,316,0
233,303,24,34,316,0
234,285,24,34,316,0
235,316,24,34,316,0
236,294,24,34,316,0
237,284,24,34,316,0
238,324,24,34,316,0
239,264,25,34,316,0
240,278,25,34,316,0
241,369,25,34,316,0
242,254,25,34,316,0
243,306,25,34,316,0
244,237,25,34,316,0
245,439,25,34,316,0
246,287,25,34,316,0
247,285,25,34,316,0
248,261,25,34,316,0
249,299,25,34,316,0
250,311,25,34,316,0
251,265,25,34,316,0
252,292,26,34,316,0
253,282,26,34,316,0
254,271,26,34,316,0
255,268,26,34,316,0
256,270,26,34,316,0
257,259,27,34,316,0
258,269,27,34,316,0
259,249,27,34,316,0
260,261,27,34,316,0
261,425,27,34,316,0
262,291,28,34,316,1
263,291,28,34,316,1
264,441,28,34,316,1
265,222,28,34,316,1
266,347,28,34,316,1
267,244,28,34,316,1
268,232,28,34,316,1
269,272,28,34,316,1
270,264,28,34,316,1
271,190,29,34,316,0
272,219,29,34,316,0
273,317,29,34,316,0
274,232,29,34,316,0
275,256,29,34,316,0
276,185,29,34,316,0
277,210,29,34,316,0
278,213,29,34,316,0
279,202,29,34,316,0
280,226,29,34,316,0
281,250,30,34,316,0
282,238,30,34,316,0
283,252,30,34,316,0
284,233,30,34,316,0
285,221,30,34,316,0
286,220,30,34,316,0
287,287,31,34,316,0
288,267,31,34,316,0
289,264,31,34,316,0
290,273,31,34,316,0
291,304,31,34,316,0
292,294,32,34,316,0
293,236,32,34,316,0
294,200,32,34,316,0
295,219,32,34,316,0
296,276,32,34,316,0
297,287,33,34,316,0
298,365,34,34,316,0
299,438,34,34,316,0
300,420,34,34,316,0
301,396,34,34,316,0
302,359,34,34,316,0
303,405,34,34,316,0
304,397,34,34,316,0
305,383,34,34,316,0
306,360,34,34,316,0
307,387,34,34,316,0
308,429,34,34,316,0
309,358,34,34,316,0
310,459,34,34,316,0
311,371,34,34,316,0
312,368,34,34,316,0
313,452,34,34,316,0
314,358,34,34,316,0
315,371,34,34,316,0
