,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],5.661265561809619,0.00024881313960829207,0.047299695678936736,5.567417347075496,5.630202716214589,5.661197352490278,5.6929981416079904,5.754450651973972,36138.4956775098,0.9999758739825065
mu[2],0.37636960469330305,0.0004839465666855813,0.09098580964741898,0.1963687950912391,0.3162023303793763,0.3763220378890902,0.4363306698681486,0.556635840043574,35346.99527338078,1.0001256961859553
tau,0.22460106265133428,0.00016567313456283326,0.031326973461024366,0.17234115718576482,0.20235214527329898,0.22145949801965015,0.24352656267337236,0.29443047541691125,35754.663890228316,0.9999567660604204
theta[1],6.211591240147496,0.00029942147996490264,0.06616397056214056,6.0809780247526835,6.167444066850786,6.211821874047814,6.255765509954285,6.342481549582505,48828.93074503445,0.9999245411630688
theta[2],6.385895141599312,0.0003056999610041977,0.06625084990571155,6.256211223131678,6.341373760696904,6.386473262622203,6.430177064664834,6.516201825693873,46966.926542204346,0.9999205685390032
theta[3],5.83345871291182,0.00022036106367636662,0.0497253368410705,5.735537692466862,5.800167390736021,5.833619801248705,5.867348360177564,5.930694481689796,50919.689577928366,0.9999757080764152
theta[4],5.739155592433934,0.0005720232383298877,0.1285388402338027,5.487507468803019,5.652697190629533,5.739721534440778,5.825951699156926,5.988034524952102,50494.18996970063,1.000018341275896
theta[5],5.763954573750867,0.00015995754308189734,0.03801956596823457,5.689153023732631,5.738233280544803,5.764161361481813,5.78971582516874,5.837548424778248,56494.329633488946,1.000053213453546
theta[6],5.535448566883054,0.00022507764925666608,0.05010285702516482,5.436880102340284,5.501550222002162,5.5355501216093606,5.568955376303023,5.6344887836476945,49551.89200798444,0.9999688414785877
theta[7],5.712395388888035,0.0002876527918153574,0.06569831238963184,5.584113532514891,5.668052987714055,5.712424425691829,5.756216154056952,5.841241655603703,52164.042595312545,0.9999954946756252
theta[8],5.8147484785436125,0.0002981526015403094,0.06602925016981881,5.68469678588178,5.770726628080618,5.814394447511935,5.859276256993708,5.945118293472325,49045.08873066127,0.9999108473942316
theta[9],5.844796383673727,0.0002868351539947183,0.06625381875945267,5.715256116544795,5.79940399713001,5.845270825395626,5.889893147842674,5.973228347393436,53352.78292137275,0.9999543590093599
theta[10],5.545700187230428,0.0001529011131293705,0.03633652597825298,5.475233536443021,5.520920298268063,5.5455286560014985,5.570620700835791,5.617060208723856,56476.205861833914,1.0000037126810744
theta[11],5.586845199180515,0.00014389796417822436,0.03384009438200048,5.520969149344652,5.564004475264389,5.586787306437456,5.609752096646419,5.6533897310466505,55303.654644470225,0.9999928605195277
theta[12],5.835445047178817,0.00014842508016345044,0.034272430654415695,5.767823733679742,5.812673218806914,5.835343000139826,5.85829919652161,5.9032545947637365,53318.16918810824,0.9999969557841227
theta[13],5.418623418979783,0.00020297505672809413,0.04765921207537053,5.324764860180224,5.386503085431453,5.418463029570061,5.4507202717642755,5.5124024303748165,55132.58723365916,0.9999540212617741
theta[14],5.843689361228356,0.00018089560184228338,0.04232517638409376,5.760122462236236,5.815068024225824,5.843867894131963,5.872319728260973,5.926247852605815,54744.63159511773,0.9999186776736015
theta[15],5.580618152999366,0.00025786059363954784,0.06074910482591179,5.462031964088174,5.540058628139702,5.5809520685155345,5.621187597921354,5.699458790080133,55502.150299606794,0.9999692428096073
theta[16],6.160733732247013,0.0002953211906844274,0.06627205490718949,6.030549545987661,6.115771228153353,6.160746665913946,6.20590681830928,6.289826771890246,50358.36862437218,0.9999665765990022
theta[17],6.369428749962309,0.00029395708347905523,0.06685867373616021,6.237642842747366,6.324304163793547,6.369310407777996,6.41462270898582,6.5003235321734465,51730.61659675067,0.9999474908874755
theta[18],6.275505090578802,0.0002796128376686426,0.06616719895614956,6.1445361828893015,6.231459605951628,6.275822999917774,6.320318110724607,6.404738803121905,55997.84141110239,0.9999692089623202
theta[19],5.491915394642718,0.00027312426896472676,0.06620926738460484,5.362745351045642,5.447316359725557,5.491672508329425,5.536599023232874,5.620925432138039,58764.7619153681,0.9999262766817765
theta[20],5.541080286268778,0.00014694943561118434,0.03385468261323228,5.475134090874272,5.518338322292747,5.540976870072995,5.5639481028771955,5.607756511060854,53076.42322865799,1.0000315862207247
theta[21],6.005367461473634,0.00021830977021054885,0.04812098644856,5.911290659315087,5.972424301935493,6.005254450561142,6.037943354053731,6.099505724281785,48587.29239744758,1.0000106061467942
theta[22],5.540619419252074,0.00018295038699950227,0.04358785971894575,5.455436473334851,5.511523066901088,5.540395178188618,5.569903403077207,5.626118374829828,56762.88022545007,0.999961827460157
theta[23],5.842269251599307,0.0002020584453998484,0.04765836390929103,5.748083603206471,5.810712714891728,5.842537478270353,5.874319275300506,5.935670771868509,55631.94496243193,0.9999342227610989
theta[24],5.708627160202107,0.00014360227592681224,0.0339556636925343,5.6416176098363096,5.68577393199225,5.708843344186786,5.731422858090671,5.775025591593831,55911.584626377415,1.000027954976387
theta[25],5.678041262301227,0.00017658680043955747,0.042274698136583064,5.5954683685308275,5.6493216665635035,5.678135422602896,5.706477278941278,5.760470364169482,57311.86682555766,0.9999261097075629
theta[26],5.625853460051954,0.00029435505299419844,0.0664092058460957,5.494234559403193,5.581669617168029,5.626067381444248,5.6708490540753616,5.7549131540226774,50899.50778921761,0.9999346012359728
