,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],5.659524679971239,0.00028414209555742415,0.048689658488080344,5.5625382815080915,5.627671425104815,5.659568482428078,5.691748367623969,5.755185625606135,29363.126670486537,0.9999457326625244
mu[2],0.36544745451220306,0.0005574547962166105,0.09516287435872661,0.1766546218438416,0.30248780477675263,0.364817943762401,0.42804427291890157,0.5539130738248474,29141.760843174572,0.9999979413067369
tau,0.2384039318287321,0.00018305313509651711,0.032881448780528455,0.1840972673768132,0.21503260917402356,0.2349578119789516,0.25772087743259,0.31349730572503687,32266.179582695222,1.0001583385554753
theta[1],6.262536828031129,0.00030631427639157745,0.06114973407949218,6.136659822817592,6.224059210080623,6.2643193306820155,6.303359283310472,6.377020190596127,39852.417247252895,0.9999458082570605
theta[2],6.4027289185920795,0.0003285151993308478,0.06677930622723327,6.265098115573886,6.360064046893347,6.404332450192365,6.447347224692104,6.530718323734478,41321.19475621567,0.9999933016688094
theta[3],5.827274900030925,0.00022551035802656608,0.04625969366283407,5.737895287497603,5.795728135089031,5.8269504928198455,5.8583299275128935,5.918892390682563,42079.688482613274,1.0000069733351848
theta[4],5.754668313293953,0.0005352723595490134,0.10730702521025638,5.519506626183538,5.696116871394056,5.759200117039902,5.818248687361295,5.960323550751169,40188.951434895534,0.9999945454314042
theta[5],5.749048305222159,0.0001390642852544524,0.028553305382922774,5.693139050552208,5.729899254180405,5.74897419583183,5.768009153859566,5.805312093369503,42158.15191018002,0.9999137979009812
theta[6],5.533837992650458,0.00015429067667345302,0.03232033258889174,5.470546050604058,5.512227192138858,5.5335778458892255,5.55532650118528,5.597979410685854,43880.571471868556,0.999973713127754
theta[7],5.7060921177849995,0.0002696583707829202,0.052612235481442955,5.605231759223106,5.6703325497622155,5.705110477707092,5.740696329126613,5.8125568497465885,38066.74106277718,1.0000409571415227
theta[8],5.978596041638261,0.0002897291988062618,0.05837182088592944,5.862850922500954,5.942048369511911,5.979024631133871,6.015703407279874,6.093727185102283,40590.27105061542,1.0000395923309
theta[9],5.86018131442356,0.00019199809541689297,0.040529033672223505,5.777787823087216,5.833910700724154,5.860857778444945,5.887049710192635,5.938653016208648,44559.33048911308,1.0000281796659907
theta[10],5.537172043544092,0.00011358276446049274,0.023550509602385784,5.491554167839908,5.521306995865087,5.537129153556743,5.552959123482722,5.583670094098622,42990.82198995689,1.0000656931075294
theta[11],5.549991837213754,0.00013039245956100352,0.026634398413739754,5.499651032780795,5.531948120292493,5.549302380469609,5.56746235462675,5.603910061974708,41723.50928891828,1.0000942203940644
theta[12],5.8642465303694555,0.00011766979228805144,0.025413765317869992,5.814899641097247,5.847009327759752,5.8641560882075705,5.881275615763184,5.914598128292999,46645.317830154054,0.9999843609680108
theta[13],5.457634264749208,0.0002452131607908105,0.04909750357782945,5.361319498213498,5.424907116903901,5.457648868585347,5.490092897920561,5.554950136623896,40089.558188432915,0.9999994357797015
theta[14],5.815335714794907,0.0001842921788480227,0.036251044981249696,5.7450669377166665,5.790846066421475,5.815065354660262,5.83957858448571,5.886780392698137,38692.54096279641,1.0000314158469261
theta[15],5.562989939817046,0.00020527492983912486,0.042590884308899485,5.479906858771997,5.53471461402267,5.5631570044263245,5.590844016163944,5.647250226966616,43048.84362946529,0.9999618812426203
theta[16],6.172394125793372,0.00022838563596722927,0.046617719723088806,6.07864161048799,6.141834138862915,6.17337426302227,6.203212202700005,6.26272553598046,41664.3375320357,1.0000396064407355
theta[17],6.2999025085226075,0.00021573892067870812,0.04531446730878933,6.211683317404011,6.270590897470839,6.299576176861898,6.328606166000185,6.390836240210639,44118.09532651033,0.9999879579752206
theta[18],6.2785677225597825,0.00024459954210457425,0.048504563558845054,6.183568474797491,6.246714612692691,6.2780396681802735,6.310175059762464,6.376168606334526,39323.65914248974,1.0000946997659086
theta[19],5.445974104823092,0.0002721074278610276,0.0533329333423221,5.34844126323992,5.410113864078756,5.443598305699238,5.478785592968061,5.559524392735556,38415.82349922081,0.9999751948054122
theta[20],5.529500906523452,0.00010523237662537844,0.022864894367702754,5.484928967732178,5.514235922323042,5.529276887317803,5.544693909080193,5.574952740382292,47210.613161164794,0.9999819003154974
theta[21],6.027358349710754,0.00018363277370120036,0.037324112111272165,5.952682106379898,6.002870969659353,6.027926900480194,6.052273746396361,6.10013371063231,41312.2246555759,1.0000044787661517
theta[22],5.5300789216865045,0.00016535372725917245,0.0333148327658132,5.465359035763047,5.507586876394989,5.529962461423773,5.55225998390099,5.596039343093784,40592.64001670116,1.0001702850061227
theta[23],5.817439510891551,0.0001712879115006564,0.03653725998448496,5.746686831004572,5.7928284622196315,5.81677457795081,5.841388131282976,5.890377272279306,45500.74659223444,1.0000561897790488
theta[24],5.703556020346182,9.47574299556122e-05,0.021079249149981386,5.662425222590762,5.689394536544508,5.703592721205499,5.717525495680841,5.744582638664946,49486.156921184884,0.9999205090911346
theta[25],5.641617021900645,0.00015638939378616993,0.032269310723741944,5.579435012199124,5.61999624192584,5.641356803206463,5.662828256633982,5.70631657192129,42575.992966698,0.9999868819597927
theta[26],5.622273147751187,0.0001913586273085967,0.03918113640454482,5.545549107204517,5.596807464564443,5.622271797717081,5.6477147273445185,5.7005947324571435,41923.54145892988,0.9999803274289734
theta[27],5.576803898323195,0.00021218997469979966,0.04629627617990487,5.489064595725052,5.546282534991942,5.575346645163446,5.604900660390316,5.674107487888173,47603.88509613092,1.0000336292010543
theta[28],5.6143774375370805,0.00022903554223550473,0.04651873579418635,5.522702256933313,5.583691132579569,5.6142854215729425,5.644696352481487,5.706619568533862,41252.478132623946,0.9999398075295787
theta[29],5.381804266720557,0.00018544589279391446,0.03746640318887477,5.309632875064606,5.356880926467984,5.3812349043544225,5.405939551855042,5.457214735759359,40817.797477006345,0.9999168525278022
theta[30],5.4667275024901185,0.00018228465962973146,0.03862589005266144,5.391204028632103,5.4411767185522955,5.466524071526239,5.492301311346154,5.544117263630289,44901.07684077711,0.9999822415524676
theta[31],5.6284288735431875,0.00019677590515597835,0.042005200168115264,5.545571433504114,5.600935949979863,5.628078661563516,5.655806566755173,5.712102722050954,45568.2425837061,0.9999025883079693
theta[32],5.497413420363196,0.0003463253354906484,0.0693396638986084,5.366606217348439,5.4489424228482495,5.495185215343291,5.543882191856589,5.636584545307219,40086.20445841435,0.9999458436515855
theta[33],5.659286615031143,0.0005248514131979748,0.10496125118506142,5.446745749884539,5.59782844683825,5.658933415656922,5.720573564166982,5.872371818369883,39993.11723982722,0.9999472721971084
theta[34],5.957478656504712,0.00011850285092398162,0.024287801650217714,5.910815928568528,5.941036890563363,5.957033648523286,5.973627670208598,6.006126026722486,42006.72442223297,0.9999700122084634
sigma,0.09041655186607603,4.9153246209855165e-05,0.00737872114890942,0.07671066991890618,0.08528324168072303,0.09015453967675319,0.09523869791143881,0.10556964636759336,22535.011607896045,1.0001820632215301
nuMinusOne,1.8723525390244165,0.0035682381958913605,0.5639162148267096,0.9969778589734821,1.4760056984294772,1.7956729943656489,2.1851884406330697,3.183314316891488,24975.919696573972,1.0000912240610305
nu,2.8723525390244165,0.0035682381958913683,0.5639162148267096,1.9969778589734821,2.476005698429477,2.795672994365649,3.1851884406330697,4.1833143168914875,24975.919696573863,1.0000912240610305
theta_median[1],525.5242374025523,0.15681536930622553,31.91610858432925,462.5061355078365,504.7479572241894,525.4837835254109,546.4043575869439,588.172452007127,41423.10193495938,0.9999485039662488
theta_median[2],604.8319483200015,0.1964851177042842,40.22709808442227,525.8931826711141,578.2833924625554,604.4581580422607,631.0261000576453,685.8907263144655,41915.831527649505,0.9999929024602772
theta_median[3],339.79602641434445,0.07711218347214138,15.741583459247629,310.4103983227926,328.891574313006,339.3223338105598,350.1388981149927,371.999455548809,41672.622450522664,1.000010426741506
theta_median[4],317.4655444406348,0.16394311240255885,33.77477930543722,249.5119046312421,297.70911076611105,317.0945888933175,336.3824266750583,387.7355565621739,42442.27825141094,0.9999777149583714
theta_median[5],314.01980113275255,0.043750959257070454,8.971701380316546,296.8239050505756,307.93824332573615,313.86852744763405,319.900226138831,332.0588106383326,42050.819178390666,0.999913874461265
theta_median[6],253.24577165237167,0.03915527343067522,8.191214834576709,237.58989345191756,247.7021935526281,253.04765885056491,258.61138766237553,269.88053857801253,43763.909455136985,0.9999742437935425
theta_median[7],301.1109027515223,0.08191943280621482,15.897764317057772,271.8449207017878,290.1310013464105,300.39866557216044,311.2810896221257,334.47323110159937,37661.55393723639,1.0000426932689517
theta_median[8],395.5581421580683,0.11439688640217867,23.0812257232774,351.7254581016031,380.7139742790688,395.05485597072266,409.81400371099807,443.0697403606404,40708.89630551675,1.0000527142561175
theta_median[9],351.07560126265093,0.0669889747196797,14.209693109917254,323.0437694506534,341.69232605311873,351.02511669625994,360.3406053741859,379.42350787969167,44994.84242129412,1.000023172675101
theta_median[10],254.0292521653666,0.028888245925261128,5.985928301078186,242.63400795811123,249.9615224621809,253.94790652345077,257.99988094881405,266.04623091363237,42935.91040518055,1.0000690559752805
theta_median[11],257.32683640977774,0.033742215471005664,6.869284106842712,244.60655769934687,252.63559646890457,257.0581645441122,261.7689788396175,271.48586135594405,41445.34590728804,1.0000889906951511
theta_median[12],352.33044355451585,0.04150197081737447,8.957341205592545,335.2577507127397,346.19746756285974,352.1848177408728,358.26596005442065,370.4054173326924,46582.285651159145,0.9999861757812973
