,reaction_times,attempt,users,num_users,num_data,is_datum_child
0,607,1,1,34,316,1
1,583,2,1,34,316,1
2,521,3,1,34,316,1
3,494,4,1,34,316,1
4,369,5,1,34,316,1
5,782,1,2,34,316,1
6,570,2,2,34,316,1
7,678,3,2,34,316,1
8,467,4,2,34,316,1
9,620,5,2,34,316,1
10,425,1,3,34,316,0
11,395,2,3,34,316,0
12,346,3,3,34,316,0
13,361,4,3,34,316,0
14,310,5,3,34,316,0
15,300,6,3,34,316,0
16,382,7,3,34,316,0
17,294,8,3,34,316,0
18,315,9,3,34,316,0
19,323,1,4,34,316,0
20,421,1,5,34,316,0
21,339,2,5,34,316,0
22,398,3,5,34,316,0
23,328,4,5,34,316,0
24,335,5,5,34,316,0
25,291,6,5,34,316,0
26,329,7,5,34,316,0
27,310,8,5,34,316,0
28,294,9,5,34,316,0
29,321,10,5,34,316,0
30,286,11,5,34,316,0
31,349,12,5,34,316,0
32,279,13,5,34,316,0
33,268,14,5,34,316,0
34,293,15,5,34,316,0
35,310,16,5,34,316,0
36,259,1,6,34,316,0
37,241,2,6,34,316,0
38,243,3,6,34,316,0
39,272,4,6,34,316,0
40,247,5,6,34,316,0
41,275,6,6,34,316,0
42,220,7,6,34,316,0
43,245,8,6,34,316,0
44,268,9,6,34,316,0
45,357,1,7,34,316,0
46,273,2,7,34,316,0
47,301,3,7,34,316,0
48,322,4,7,34,316,0
49,276,5,7,34,316,0
50,401,1,8,34,316,0
51,368,2,8,34,316,0
52,149,3,8,34,316,0
53,507,4,8,34,316,0
54,411,5,8,34,316,0
55,362,1,9,34,316,0
56,358,2,9,34,316,0
57,355,3,9,34,316,0
58,362,4,9,34,316,0
59,324,5,9,34,316,0
60,332,1,10,34,316,0
61,268,2,10,34,316,0
62,259,3,10,34,316,0
63,274,4,10,34,316,0
64,248,5,10,34,316,0
65,254,6,10,34,316,0
66,242,7,10,34,316,0
67,286,8,10,34,316,0
68,276,9,10,34,316,0
69,237,10,10,34,316,0
70,259,11,10,34,316,0
71,251,12,10,34,316,0
72,239,13,10,34,316,0
73,247,14,10,34,316,0
74,260,15,10,34,316,0
75,237,16,10,34,316,0
76,206,17,10,34,316,0
77,242,18,10,34,316,0
78,361,1,11,34,316,0
79,267,2,11,34,316,0
80,245,3,11,34,316,0
81,331,4,11,34,316,0
82,357,5,11,34,316,0
83,284,6,11,34,316,0
84,263,7,11,34,316,0
85,244,8,11,34,316,0
86,317,9,11,34,316,0
87,225,10,11,34,316,0
88,254,11,11,34,316,0
89,253,12,11,34,316,0
90,251,13,11,34,316,0
91,314,14,11,34,316,0
92,239,15,11,34,316,0
93,248,16,11,34,316,0
94,250,17,11,34,316,0
95,200,18,11,34,316,0
96,256,19,11,34,316,0
97,233,20,11,34,316,0
98,427,1,12,34,316,0
99,391,2,12,34,316,0
100,331,3,12,34,316,0
101,395,4,12,34,316,0
102,337,5,12,34,316,0
103,392,6,12,34,316,0
104,352,7,12,34,316,0
105,381,8,12,34,316,0
106,330,9,12,34,316,0
107,368,10,12,34,316,0
108,381,11,12,34,316,0
109,316,12,12,34,316,0
110,335,13,12,34,316,0
111,316,14,12,34,316,0
112,302,15,12,34,316,0
113,375,16,12,34,316,0
114,361,17,12,34,316,0
115,330,18,12,34,316,0
116,351,19,12,34,316,0
117,186,20,12,34,316,0
118,221,1,13,34,316,0
119,278,2,13,34,316,0
120,244,3,13,34,316,0
121,218,4,13,34,316,0
122,126,5,13,34,316,0
123,269,6,13,34,316,0
124,238,7,13,34,316,0
125,194,8,13,34,316,0
126,384,9,13,34,316,0
127,154,10,13,34,316,0
128,555,1,14,34,316,1
129,387,2,14,34,316,1
130,317,3,14,34,316,1
131,365,4,14,34,316,1
132,357,5,14,34,316,1
133,390,6,14,34,316,1
134,320,7,14,34,316,1
135,316,8,14,34,316,1
136,297,9,14,34,316,1
137,354,10,14,34,316,1
138,266,11,14,34,316,1
139,279,12,14,34,316,1
140,327,13,14,34,316,1
141,285,1,15,34,316,1
142,258,2,15,34,316,1
143,267,3,15,34,316,1
144,226,4,15,34,316,1
145,237,5,15,34,316,1
146,264,6,15,34,316,1
