,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu_0,5.64098,0.00974,0.04201,5.56289,5.61173,5.63921,5.66746,5.72809,18.58519,1.23295
mu_1,inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
mu_2,-inf,,inf,-176976258284364828174331879002054887809179865603603681344428278397970204900421712605352322936960681817074639825554466859581142024857833674240038173514533280948643447114410552218157210699687744262960937339780634762108403746277173699510032413150650321832384187603126763305850816832994774020568406911857205444608.00000,-153412571078437353964564651087918299757463039148867969696075277589131822102292805459276134385377339744528300437377516880248196828762213948138748081278908324555763408763056194002249451339345673543505318573051701353603806042836495083028208584617417931389725098409637999043785623396522623899747501230160517005312.00000,-124118428460695005132301542043756547482611931102354327516916158528706445207882194160119411179641824097566563249216763843307617171710628963595723804258399075647633707441290406035621045291769491041420393335065063267857804811193091795476545934064610871735327697534190576104414948313039268767103986468112190930944.00000,-85906634468473825642333551545406261589757127229003931447484043545302925609995108422385273894532229681670265457658791420381905421224701056905268681075121931477196820922225206793832152786568736989847236464165383163496592530051831821605604499022104222564894801564305298436293023831312827153557489046679376101376.00000,-28366570626722184686747326060661900190231930995726055976944376683625578545075092062931781991032452857849814657111945556105619240149292038521576045135277927742062013242049618922083950612449051755426586983548195267494374492474016639863455034044600491585349667452053522783456410689106731757929024999274630348800.00000,,
"phi[1,1]",0.38869,0.01673,0.08519,0.22062,0.33160,0.38944,0.44675,0.56097,25.94340,1.15347
"phi[2,1]",9.07176,39.71310,74.99048,-94.37154,-42.66973,-1.05752,18.79538,211.90330,3.56570,2.22938
"phi[3,1]",4.03965,10.51041,33.69377,-96.64260,-7.65129,9.10475,18.76373,75.53236,10.27685,2.17908
tau[1],0.22593,0.00443,0.02972,0.17931,0.20363,0.22326,0.24349,0.29291,45.08122,1.06682
tau[2],0.32233,0.04599,0.33784,0.00561,0.08375,0.20972,0.43176,1.25471,53.95772,1.04915
tau[3],0.29969,0.03063,0.33030,0.00228,0.05743,0.19396,0.42373,1.18080,116.28999,1.04831
sigma,0.15458,0.00022,0.00651,0.14239,0.15020,0.15428,0.15869,0.16814,882.57706,1.00093
"eta[1,1]",0.81282,0.06778,0.42204,-0.10227,0.54286,0.81027,1.07964,1.63580,38.77601,1.10777
"eta[2,1]",0.09766,0.08444,0.96016,-1.82724,-0.57079,0.08592,0.77622,1.92055,129.30633,1.02861
"eta[3,1]",0.01108,0.15701,1.04723,-1.88986,-0.77158,0.05172,0.75871,2.03997,44.48882,1.13795
"eta[1,2]",1.58325,0.05110,0.40996,0.80916,1.30241,1.57445,1.85298,2.41660,64.35284,1.05266
"eta[2,2]",0.08424,0.10611,0.97022,-1.76482,-0.60333,0.08654,0.76558,1.96358,83.60918,1.10214
"eta[3,2]",-0.07319,0.10153,0.94219,-1.93046,-0.71995,-0.05314,0.57699,1.68489,86.11170,1.01364
"eta[1,3]",0.86454,0.04810,0.29381,0.26904,0.67472,0.86471,1.06235,1.41941,37.31428,1.10490
"eta[2,3]",-0.07185,0.09475,0.95224,-1.94157,-0.73153,-0.07843,0.57682,1.84190,101.01045,1.04698
"eta[3,3]",0.15617,0.13631,0.97076,-1.64459,-0.50668,0.13273,0.83001,2.21312,50.72128,1.09984
"eta[1,4]",0.43363,0.09082,0.56621,-0.60019,0.03138,0.43579,0.85173,1.48225,38.87006,1.16911
"eta[2,4]",0.01996,0.16280,1.03630,-2.07929,-0.63863,0.04730,0.75932,1.93649,40.51939,1.12618
"eta[3,4]",0.09916,0.12677,1.05483,-2.13244,-0.59843,0.11395,0.88695,1.99261,69.23462,1.04118
"eta[1,5]",0.53640,0.04789,0.25785,0.04208,0.35475,0.53596,0.71127,1.05353,28.99064,1.14643
"eta[2,5]",0.32513,0.31428,1.00865,-1.65579,-0.33156,0.32427,0.97092,2.26150,10.30038,1.24895
"eta[3,5]",0.11127,0.15782,1.08070,-1.93096,-0.66860,0.02280,0.83543,2.36396,46.88970,1.07606
"eta[1,6]",-0.47920,0.05011,0.29925,-1.08264,-0.68198,-0.47543,-0.26942,0.06722,35.66348,1.11571
