,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],5.66,0.00,0.05,5.57,5.63,5.66,5.69,5.76,4507.03,1.00
mu[2],0.38,0.00,0.09,0.19,0.32,0.38,0.44,0.56,6068.59,1.00
tau,0.23,0.00,0.03,0.17,0.20,0.22,0.24,0.30,6196.19,1.00
sigma,0.15,0.00,0.01,0.14,0.15,0.15,0.16,0.17,25870.61,1.00
eta[1],0.78,0.00,0.45,-0.08,0.48,0.78,1.08,1.67,10901.20,1.00
eta[2],1.57,0.00,0.47,0.67,1.25,1.56,1.88,2.53,10003.38,1.00
eta[3],0.77,0.00,0.31,0.17,0.56,0.77,0.98,1.40,8295.37,1.00
eta[4],0.35,0.00,0.59,-0.82,-0.05,0.35,0.74,1.52,24303.67,1.00
eta[5],0.46,0.00,0.27,-0.07,0.28,0.46,0.64,1.00,6789.05,1.00
eta[6],-0.57,0.00,0.31,-1.19,-0.78,-0.57,-0.36,0.01,8601.56,1.00
eta[7],0.23,0.00,0.36,-0.46,-0.01,0.23,0.46,0.93,11458.36,1.00
eta[8],0.69,0.00,0.36,-0.01,0.44,0.68,0.93,1.42,11048.53,1.00
eta[9],0.82,0.00,0.37,0.12,0.57,0.82,1.07,1.57,10928.15,1.00
eta[10],-0.53,0.00,0.27,-1.06,-0.71,-0.52,-0.34,-0.01,6597.46,1.00
eta[11],-0.34,0.00,0.26,-0.84,-0.51,-0.34,-0.17,0.16,6577.20,1.00
eta[12],0.78,0.00,0.28,0.25,0.59,0.78,0.96,1.34,6391.99,1.00
eta[13],-1.10,0.00,0.32,-1.75,-1.31,-1.09,-0.88,-0.49,8016.06,1.00
eta[14],-0.88,0.00,0.40,-1.66,-1.14,-0.88,-0.61,-0.10,8591.45,1.00
eta[15],-2.06,0.01,0.48,-3.03,-2.38,-2.06,-1.74,-1.14,9122.46,1.00
eta[16],0.55,0.00,0.44,-0.30,0.25,0.55,0.85,1.43,10844.86,1.00
eta[17],1.50,0.00,0.47,0.59,1.18,1.49,1.81,2.45,10069.76,1.00
eta[18],1.07,0.00,0.46,0.20,0.76,1.07,1.38,1.99,10416.41,1.00
eta[19],-0.77,0.00,0.36,-1.51,-1.01,-0.76,-0.52,-0.08,11011.16,1.00
eta[20],-0.55,0.00,0.26,-1.07,-0.72,-0.55,-0.37,-0.04,6497.11,1.00
eta[21],1.55,0.00,0.35,0.88,1.31,1.54,1.78,2.26,7600.53,1.00
eta[22],-0.55,0.00,0.29,-1.13,-0.74,-0.55,-0.35,0.00,7907.66,1.00
eta[23],-0.88,0.00,0.41,-1.69,-1.16,-0.88,-0.60,-0.08,9081.85,1.00
eta[24],0.21,0.00,0.26,-0.29,0.03,0.21,0.38,0.73,6368.38,1.00
eta[25],0.07,0.00,0.28,-0.47,-0.12,0.07,0.26,0.61,7677.82,1.00
eta[26],-0.17,0.00,0.36,-0.87,-0.40,-0.16,0.07,0.53,11628.70,1.00
eta[27],-0.02,0.00,0.35,-0.71,-0.26,-0.02,0.21,0.67,11547.48,1.00
eta[28],-1.68,0.00,0.45,-2.56,-1.97,-1.67,-1.37,-0.81,8668.47,1.00
eta[29],-1.11,0.00,0.32,-1.77,-1.32,-1.10,-0.89,-0.50,8015.22,1.00
eta[30],-0.84,0.00,0.35,-1.55,-1.07,-0.83,-0.60,-0.18,10269.30,1.00
eta[31],-0.14,0.00,0.35,-0.83,-0.37,-0.13,0.11,0.56,12192.80,1.00
eta[32],-0.70,0.00,0.36,-1.43,-0.94,-0.70,-0.46,-0.00,11817.52,1.00
eta[33],-0.01,0.00,0.59,-1.17,-0.40,-0.00,0.38,1.15,23195.28,1.00
eta[34],1.36,0.00,0.32,0.76,1.14,1.35,1.57,2.00,6315.88,1.00
theta[1],6.21,0.00,0.07,6.08,6.17,6.21,6.26,6.34,59069.15,1.00
theta[2],6.39,0.00,0.07,6.25,6.34,6.39,6.43,6.52,52442.34,1.00
theta[3],5.83,0.00,0.05,5.74,5.80,5.83,5.87,5.93,55268.12,1.00
theta[4],5.74,0.00,0.13,5.49,5.65,5.74,5.83,5.99,32515.61,1.00
theta[5],5.76,0.00,0.04,5.69,5.74,5.76,5.79,5.84,62773.77,1.00
theta[6],5.54,0.00,0.05,5.44,5.50,5.54,5.57,5.63,57805.78,1.00
theta[7],5.71,0.00,0.07,5.58,5.67,5.71,5.76,5.84,47167.46,1.00
theta[8],5.82,0.00,0.07,5.69,5.77,5.82,5.86,5.95,49759.38,1.00
theta[9],5.85,0.00,0.07,5.71,5.80,5.85,5.89,5.98,45952.82,1.00
theta[10],5.55,0.00,0.04,5.48,5.52,5.55,5.57,5.62,62866.23,1.00
theta[11],5.59,0.00,0.03,5.52,5.56,5.59,5.61,5.65,63476.76,1.00
theta[12],5.84,0.00,0.03,5.77,5.81,5.84,5.86,5.90,61741.65,1.00
theta[13],5.42,0.00,0.05,5.33,5.39,5.42,5.45,5.51,56315.25,1.00
theta[14],5.84,0.00,0.04,5.76,5.82,5.84,5.87,5.93,52821.52,1.00
theta[15],5.58,0.00,0.06,5.46,5.54,5.58,5.62,5.70,53144.99,1.00
theta[16],6.16,0.00,0.07,6.03,6.12,6.16,6.21,6.29,61602.76,1.00
theta[17],6.37,0.00,0.07,6.24,6.33,6.37,6.41,6.50,56135.70,1.00
theta[18],6.28,0.00,0.07,6.14,6.23,6.28,6.32,6.41,57782.96,1.00
theta[19],5.49,0.00,0.07,5.36,5.45,5.49,5.54,5.62,48498.77,1.00
theta[20],5.54,0.00,0.03,5.47,5.52,5.54,5.56,5.61,62828.62,1.00
theta[21],6.01,0.00,0.05,5.91,5.97,6.01,6.04,6.10,57503.07,1.00
