,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],5.66129489835989,0.0001088528798420176,0.0471515583030951,5.5683463428964295,5.630102398934942,5.661338700033488,5.692239088783069,5.754570419919615,187634.30967534464,0.9999848455484444
mu[2],0.37630254535378066,0.00021090238569729006,0.09138907885432325,0.19612776643280233,0.31616110342392556,0.37609738277610644,0.436739898174733,0.5565379823970688,187769.74434564062,0.9999904226366211
tau,0.22502525292369216,6.983319108818861e-05,0.031778429111883236,0.17203782340173843,0.20257148262274982,0.22188137357023435,0.24398793809651537,0.2960463780196281,207081.39137805198,0.9999866149085413
theta[1],6.211936636452855,0.00011829342996754739,0.06625795852612772,6.08218871789102,6.167204367641418,6.212092552552249,6.256450253152157,6.34144062587071,313729.1352011846,0.9999885204580947
theta[2],6.386093530183844,0.00012754103267340343,0.06674347322409806,6.254583748858984,6.341085912575455,6.386235072311691,6.431245080040618,6.516577091884983,273853.15435839747,0.9999925566991624
theta[3],5.833488321660278,8.665357286217734e-05,0.050177738088664804,5.735096750765393,5.799626450643499,5.833484827186132,5.8672131996012675,5.932001591512522,335312.0898954767,0.999994960049532
theta[4],5.739416144382388,0.00022307949915946102,0.12743485945843952,5.490018656779333,5.6537961721983745,5.739021420317922,5.824996512557432,5.990774108610316,326330.1248335259,0.9999869031365441
theta[5],5.7638579275287825,6.880570891021931e-05,0.03796354209892434,5.689118485057648,5.738314899046922,5.763809985197179,5.789479680029869,5.838091955184479,304427.93752795405,0.9999916202860092
theta[6],5.53506102578128,8.748747472722075e-05,0.05004416045231656,5.436702743710708,5.501493599278497,5.535034224565013,5.568766612310151,5.632912704809686,327201.3249395673,0.9999863600213784
theta[7],5.712637779172818,0.00012031981338352157,0.06575034731838654,5.583376296765867,5.668497969477918,5.712539362219449,5.756808687563602,5.8419418721589,298622.0023706588,1.000008051398296
theta[8],5.8152867781782005,0.00012350023159891563,0.06633970476135721,5.685035991396523,5.7707172007255965,5.815329202143982,5.859826996400415,5.945768599004328,288543.65235873434,0.9999886059387635
theta[9],5.845088174054656,0.00012267939725711888,0.06633137894307865,5.714970023407103,5.800288143547098,5.845178348986096,5.889907395584499,5.975053640805166,292344.4036148637,0.9999867910591608
theta[10],5.54565256526997,6.379530536398908e-05,0.03589389757684949,5.475302027571518,5.521446597786969,5.545651161005356,5.569626816560493,5.616294700391272,316565.65638212126,0.9999936432651031
theta[11],5.586979648976955,6.028238307496071e-05,0.03428670565797703,5.519744991319957,5.56390517138175,5.586929336483799,5.610060024104527,5.654423181106042,323497.32467253954,1.0000029933583467
theta[12],5.835236781313861,6.134979268642335e-05,0.034288895953755,5.7678341085081595,5.812178113646993,5.835219154653826,5.85834671361065,5.902663833474136,312378.2622047866,0.9999928114983316
theta[13],5.418537363222584,8.496951022082837e-05,0.04790765507651138,5.324479490567102,5.38635933117115,5.41843173467389,5.45082767554754,5.512248287693554,317894.927647174,0.9999941048144615
theta[14],5.8436496768090755,7.496591373482235e-05,0.04219517472042815,5.761044156384404,5.815271778657582,5.843715576488167,5.872018856203408,5.926359715268434,316809.2850471614,0.999997576610844
theta[15],5.580556695169723,0.00011318972834478196,0.06180215581819452,5.459610073679324,5.538809044842695,5.5805719461314265,5.62213304932602,5.701610728311836,298121.44259468676,1.0000032555621228
theta[16],6.1607689366863,0.00013083335807623987,0.06645086673586088,6.029552526910367,6.116136952390839,6.160674501225325,6.205243575566332,6.2914263966770285,257967.1008342556,0.9999984432710154
theta[17],6.369693945547176,0.00012335913886245186,0.06687298549046553,6.2386122210217545,6.3246990922697055,6.369667162824424,6.414664907782798,6.500791989981597,293872.37759620755,0.9999888154278189
theta[18],6.275788024078843,0.00012345168344450084,0.06660638440440218,6.145347506660293,6.23093323712998,6.275983654791469,6.320662929622453,6.406362170866229,291096.9706233204,0.9999871542075974
