,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"mu[1,1]",5.70701,0.00038,0.04808,5.61230,5.67513,5.70698,5.73898,5.80121,15780.92736,1.00038
"mu[2,1]",-0.00792,0.00001,0.00263,-0.01314,-0.00963,-0.00791,-0.00619,-0.00274,87436.30310,0.99999
"mu[1,2]",0.46003,0.00062,0.09469,0.27299,0.39737,0.45984,0.52296,0.64685,23037.40201,1.00013
"mu[2,2]",-0.02426,0.00002,0.00826,-0.04052,-0.02977,-0.02424,-0.01875,-0.00801,109545.43948,0.99998
tau[1],0.21905,0.00019,0.03124,0.16718,0.19698,0.21582,0.23757,0.28930,27362.57210,1.00011
tau[2],0.00433,0.00002,0.00287,0.00023,0.00211,0.00395,0.00608,0.01089,29992.66316,1.00025
sigma,0.14609,0.00002,0.00628,0.13439,0.14174,0.14587,0.15020,0.15899,123154.87645,1.00001
"eta[1,1]",0.68317,0.00220,0.44365,-0.17405,0.38344,0.67899,0.97929,1.56489,40500.66380,0.99999
"eta[2,1]",-0.12789,0.00243,0.98943,-2.06866,-0.79413,-0.12724,0.53938,1.81128,165626.12391,1.00000
"eta[1,2]",1.48132,0.00242,0.46843,0.58773,1.16030,1.47304,1.79197,2.42087,37518.04189,0.99998
"eta[2,2]",0.02152,0.00229,0.98919,-1.92147,-0.64738,0.02091,0.69068,1.96038,186359.66815,0.99998
"eta[1,3]",0.80331,0.00191,0.33193,0.17563,0.57789,0.79577,1.02031,1.48056,30111.59629,1.00027
"eta[2,3]",-0.21643,0.00255,0.97248,-2.11441,-0.87223,-0.22258,0.43765,1.69397,145118.81223,1.00001
"eta[1,4]",0.24589,0.00183,0.58124,-0.89409,-0.14276,0.24537,0.63489,1.39259,100547.37936,0.99999
"eta[2,4]",0.00473,0.00230,0.99376,-1.94113,-0.66721,0.00523,0.67074,1.94602,186485.46803,0.99997
"eta[1,5]",0.64993,0.00191,0.31594,0.05820,0.43403,0.64058,0.85565,1.29449,27269.81865,1.00034
"eta[2,5]",-0.37344,0.00257,0.89332,-2.09182,-0.96966,-0.39098,0.20783,1.43943,120454.89471,1.00000
"eta[1,6]",-0.61864,0.00190,0.32554,-1.27402,-0.83329,-0.61335,-0.39838,0.00628,29481.59789,1.00011
"eta[2,6]",0.02890,0.00246,0.96275,-1.86486,-0.61584,0.03085,0.67309,1.92194,153430.06389,0.99999
"eta[1,7]",0.15192,0.00182,0.35614,-0.54048,-0.08701,0.15131,0.38840,0.85444,38364.64473,1.00014
"eta[2,7]",-0.04643,0.00242,0.99298,-1.99750,-0.71507,-0.04563,0.62371,1.89733,168085.96155,0.99999
"eta[1,8]",0.61419,0.00187,0.36364,-0.08301,0.36779,0.60850,0.85559,1.34051,37975.34659,1.00016
"eta[2,8]",0.12521,0.00239,0.99386,-1.83499,-0.54252,0.12664,0.79898,2.06132,172560.60824,1.00000
"eta[1,9]",0.76292,0.00191,0.36753,0.06222,0.51229,0.75665,1.00648,1.50202,36923.22719,1.00019
"eta[2,9]",0.01853,0.00244,0.99339,-1.92554,-0.65014,0.01665,0.68755,1.96702,165221.88719,0.99999
"eta[1,10]",-0.34557,0.00189,0.30508,-0.94433,-0.54816,-0.34592,-0.14284,0.25723,26160.77114,1.00023
"eta[2,10]",-0.27853,0.00255,0.85513,-1.93399,-0.84566,-0.28936,0.27429,1.45549,112056.15628,1.00000
"eta[1,11]",-0.05625,0.00190,0.31104,-0.65709,-0.26638,-0.06093,0.14597,0.57229,26683.04095,1.00036
"eta[2,11]",-0.51270,0.00273,0.85018,-2.14850,-1.07541,-0.53077,0.02699,1.22840,96843.00080,1.00001
"eta[1,12]",1.08336,0.00204,0.33420,0.46094,0.85285,1.07110,1.29987,1.77463,26877.07599,1.00041
"eta[2,12]",-0.44621,0.00255,0.84560,-2.08456,-1.00137,-0.46183,0.09083,1.28537,110025.26736,1.00005
"eta[1,13]",-1.12677,0.00202,0.34256,-1.81896,-1.35254,-1.11884,-0.89316,-0.47753,28833.35013,1.00012
"eta[2,13]",-0.08781,0.00251,0.95464,-1.95281,-0.73249,-0.09050,0.55469,1.80394,144192.90664,0.99999
"eta[1,14]",-0.45574,0.00217,0.41016,-1.26257,-0.73090,-0.45489,-0.17981,0.34801,35758.61863,1.00003
"eta[2,14]",-0.09824,0.00245,0.94782,-1.95564,-0.73641,-0.10070,0.54101,1.75911,149607.27666,1.00000
"eta[1,15]",-2.19000,0.00261,0.49309,-3.17537,-2.51800,-2.18216,-1.85368,-1.24464,35617.28197,1.00009
"eta[2,15]",-0.11699,0.00243,0.99697,-2.05982,-0.79066,-0.11903,0.55347,1.84801,167905.18790,0.99998
"eta[1,16]",0.43104,0.00218,0.43940,-0.42471,0.13374,0.42919,0.72424,1.30030,40495.34856,0.99998
"eta[2,16]",0.07356,0.00239,0.99192,-1.87298,-0.59405,0.07180,0.73957,2.01461,172320.50475,0.99998
"eta[1,17]",1.41503,0.00237,0.46608,0.51900,1.09844,1.40899,1.72419,2.34816,38669.59697,0.99998
"eta[2,17]",-0.07577,0.00236,0.99051,-2.01506,-0.74311,-0.07431,0.58551,1.86959,175737.19335,0.99999
"eta[1,18]",0.96561,0.00227,0.45027,0.09577,0.65769,0.96116,1.26734,1.86188,39326.67161,0.99998
"eta[2,18]",0.05695,0.00235,0.99094,-1.88682,-0.61211,0.05983,0.72747,1.99135,178445.89186,0.99998
"eta[1,19]",-0.88140,0.00190,0.37073,-1.62809,-1.12622,-0.87312,-0.62821,-0.17692,38035.52926,1.00015
"eta[2,19]",-0.04609,0.00247,0.99379,-2.00319,-0.71544,-0.04596,0.61722,1.91006,161672.59514,1.00001
"eta[1,20]",-0.48271,0.00190,0.30981,-1.11303,-0.68588,-0.47477,-0.27222,0.10254,26609.10923,1.00010
"eta[2,20]",0.38988,0.00261,0.84370,-1.33307,-0.14616,0.40541,0.94314,2.02239,104156.56547,0.99999
"eta[1,21]",1.59398,0.00218,0.36696,0.90810,1.34191,1.58445,1.83422,2.34766,28299.88484,1.00029
"eta[2,21]",-0.00640,0.00240,0.94903,-1.86966,-0.64563,-0.00487,0.62924,1.85228,156597.79768,0.99998
"eta[1,22]",-0.58978,0.00190,0.31876,-1.23801,-0.79743,-0.58277,-0.37289,0.01283,28146.01034,1.00012
"eta[2,22]",0.33311,0.00269,0.94191,-1.54319,-0.29366,0.34433,0.97394,2.14629,122606.45229,1.00003
"eta[1,23]",-0.75166,0.00222,0.41830,-1.58251,-1.03130,-0.74719,-0.46722,0.05283,35574.76691,1.00008
"eta[2,23]",0.38465,0.00277,0.98589,-1.57003,-0.27763,0.38769,1.05521,2.28298,126427.75453,1.00000
"eta[1,24]",0.26506,0.00192,0.31140,-0.35920,0.06069,0.26910,0.47412,0.86780,26390.03840,1.00016
"eta[2,24]",0.53437,0.00267,0.84722,-1.20917,-0.00350,0.55073,1.09324,2.16624,100997.49359,1.00000
"eta[1,25]",0.08527,0.00183,0.30559,-0.52130,-0.11740,0.08647,0.28957,0.68330,27856.85978,1.00015
"eta[2,25]",0.21003,0.00256,0.91855,-1.60979,-0.40201,0.21443,0.83014,2.00339,128615.95950,0.99999
"eta[1,26]",-0.25580,0.00182,0.35755,-0.96664,-0.49248,-0.25410,-0.01468,0.44066,38563.36404,1.00013
"eta[2,26]",-0.03757,0.00238,0.99571,-1.99355,-0.70884,-0.03918,0.63594,1.90485,174910.91956,1.00002
"eta[1,27]",-0.12831,0.00181,0.35811,-0.83119,-0.36729,-0.12802,0.11054,0.57319,39180.26469,1.00012
"eta[2,27]",0.20448,0.00250,1.00497,-1.77459,-0.46770,0.20304,0.87806,2.17651,161559.63535,1.00000
"eta[1,28]",-1.57423,0.00241,0.44793,-2.46631,-1.87235,-1.56962,-1.26845,-0.71455,34502.13575,1.00005
"eta[2,28]",-0.11546,0.00239,0.97078,-2.01560,-0.76872,-0.11941,0.53661,1.79397,164539.48841,0.99998
"eta[1,29]",-1.13025,0.00203,0.34316,-1.82699,-1.35577,-1.12165,-0.89740,-0.47833,28501.64158,1.00016
"eta[2,29]",-0.13185,0.00246,0.95580,-1.99732,-0.77157,-0.13811,0.50896,1.75600,151028.01303,1.00000
"eta[1,30]",-0.92811,0.00194,0.35869,-1.65720,-1.16393,-0.91939,-0.68300,-0.24452,34215.35531,1.00010
"eta[2,30]",-0.13072,0.00247,0.99076,-2.06108,-0.80016,-0.13203,0.53792,1.81307,160805.42260,0.99998
"eta[1,31]",-0.22879,0.00183,0.35870,-0.93544,-0.46810,-0.22786,0.01185,0.47446,38307.41069,1.00017
"eta[2,31]",0.02750,0.00235,0.99389,-1.92023,-0.64136,0.02520,0.69781,1.98115,178212.11640,0.99997
"eta[1,32]",-0.80981,0.00189,0.36843,-1.55318,-1.05142,-0.80431,-0.56003,-0.10306,38110.94480,1.00008
"eta[2,32]",-0.07212,0.00243,0.99418,-2.01901,-0.73973,-0.06974,0.59605,1.88070,167890.81706,0.99998
"eta[1,33]",-0.12342,0.00186,0.57980,-1.26845,-0.50962,-0.12114,0.26478,1.01736,96856.05003,1.00002
"eta[2,33]",-0.00253,0.00242,1.00668,-1.97425,-0.68132,-0.00524,0.67764,1.97207,173387.17037,1.00000
"eta[1,34]",1.42275,0.00222,0.35706,0.74000,1.18150,1.41720,1.65825,2.14065,25858.09447,1.00020
"eta[2,34]",0.50964,0.00271,0.87500,-1.28350,-0.05122,0.53056,1.09374,2.18609,104607.75344,0.99999
